Experiment,Sigma,E2,Einf,TPR,PDE
0,0.0,"tensor(0.0009, dtype=torch.float64)",0.0009066301442772762,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,1.0,0.0009250469496476592,0.0009250480887136314,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,2.0,0.0007337337634672485,0.0007337346540611245,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,3.0,3.144246588503358e-05,3.144048390035792e-05,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,4.0,0.0018633250549819763,0.001863327053938768,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,5.0,0.0030728444089091595,0.003072847796436018,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,6.0,0.0008866031374108759,0.0008865992727626892,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,7.0,0.0017995021361791729,0.001799504171783095,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,8.0,0.0009015169201028106,0.0009015180022403646,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,9.0,0.0014921939215048368,0.001492189139829625,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,10.0,0.0013640472419839383,0.001364048921370653,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,11.0,0.0003830015845887662,0.00038300197662410884,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,12.0,0.0044746298858279274,0.004474635341438327,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,13.0,0.0003235140289843692,0.00032350637115641234,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,14.0,0.006589911539363495,0.006589917744221796,0.6666666666666666,h_t = (-0.00)(𝔻) + (-0.99)(ℚ)
1,15.0,0.006045191855838503,0.006045198435513877,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.01)(ℚ)
1,16.0,0.0007996653680158998,0.0007996661999105648,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,17.0,0.0041331125219687785,0.004133116729457154,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,18.0,0.0020682803361968915,0.0020682778525232814,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,19.0,0.00025069252491157623,0.00025068152384788434,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,20.0,0.004776618318420681,0.004776624201225488,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,21.0,0.007006810971829648,0.007006817474186855,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.01)(ℚ)
1,22.0,0.001393594417546375,0.0013935917783101104,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,23.0,0.003319770112655318,0.0033197737698719143,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,24.0,0.0018137878245101375,0.0018137900586326916,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,25.0,0.0019014046868938903,0.0019014069752256724,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,26.0,0.0014572113940167903,0.0014572131230956575,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,27.0,0.012712998304078361,0.012713012623830178,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.01)(ℚ)
1,28.0,0.010829431684484468,0.01082944138520836,0.6666666666666666,h_t = (-0.00)(𝔻) + (-0.99)(ℚ)
1,29.0,0.004958264907392305,0.004958262507407718,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,30.0,0.0005060834156980526,0.000506073934613549,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,31.0,0.00013314239433062365,0.00013313985175766874,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,32.0,0.005002627075380452,0.005002633097948905,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.01)(ℚ)
1,33.0,0.007561826563737849,0.0075618346297900985,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.01)(ℚ)
1,34.0,0.00971514322905188,0.009715150959748953,0.6666666666666666,h_t = (-0.00)(𝔻) + (-0.99)(ℚ)
1,35.0,0.022407034081672203,0.02240705979601021,0.6666666666666666,h_t = (-0.00)(𝔻) + (-0.98)(ℚ)
1,36.0,0.015477365941103988,0.015477380385183759,0.6666666666666666,h_t = (-0.00)(𝔻) + (-0.98)(ℚ)
1,37.0,0.004817224032634894,0.0048172240399098065,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,38.0,0.00557701748980106,0.005577023482704835,0.6666666666666666,h_t = (-0.00)(𝔻) + (-0.99)(ℚ)
1,39.0,0.004577065540224594,0.004577070520646376,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
1,40.0,0.01855036184977886,0.018550381859583354,0.6666666666666666,h_t = (-0.00)(𝔻) + (-0.98)(ℚ)
2,1.0,0.001172672837922785,0.0011726742781860144,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
2,2.0,0.0011260722307236551,0.0011260736177113317,0.6666666666666666,h_t = (-0.00)(𝔻) + (-1.00)(ℚ)
